September 2020 Contiguous U.S. City Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,,,,,
Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00013958,"Austin, Texas",78.1,12,-2.1,80.2
USW00012919,"Brownsville, Texas",81.6,17,-1.4,83
USH00412015,"Corpus Christi, Texas",80.6,96,0.8,79.8
USW00013960,"Dallas, Texas",76.3,12,-2.9,79.2
USW00022010,"Del Rio, Texas",78.7,8,-1.8,80.5
USH00412797,"El Paso, Texas",76,69,-0.8,76.8
USW00012918,"Houston, Texas",82.3,79,2.3,80
USW00023042,"Lubbock, Texas",70.8,35,-0.6,71.4
USW00023023,"Midland, Texas",72.3,8,-3.3,75.6
USH00417945,"San Antonio, Texas",78.9,55,-0.5,79.4
USW00013966,"Wichita Falls, Texas",72,7,-3.5,75.5
USW00093129,"Cedar City, Utah",64.8,66,2.7,62.1
USW00024127,"Salt Lake City, Utah",69.4,59,2.2,67.2
USH00431081,"Burlington, Vermont",62.1,93,0.9,61.2
USW00094705,"Montpelier, Vermont",57.8,53,1.3,56.5
USH00446139,"Norfolk, Virginia",74.5,84,1.3,73.2
USW00013740,"Richmond, Virginia",69.7,32,-0.6,70.3
USW00013741,"Roanoke, Virginia",68.2,34,-0.2,68.4
USW00024227,"Olympia, Washington",62.6,78,3.7,58.9
USW00024233,"Seattle, Washington",65.5,72,3.5,62
USH00457938,"Spokane, Washington",63.9,118,3.8,60.1
USW00024243,"Yakima, Washington",64.7,71,3.5,61.2
USW00003872,"Beckley, West Virginia",63.4,23,-0.7,64.1
USW00013866,"Charleston, West Virginia",67.7,41,0.2,67.5
USW00013729,"Elkins, West Virginia",62.6,40,-0.1,62.7
USW00003860,"Huntington, West Virginia",67.9,32,0.1,67.8
USW00014898,"Green Bay, Wisconsin",59.6,61,-0.8,60.4
USW00014920,"La Crosse, Wisconsin",62.4,32,-1.7,64.1
USW00014837,"Madison, Wisconsin",59.8,29,-1.3,61.1
USW00014839,"Milwaukee, Wisconsin",63.7,38,-0.6,64.3
USW00014897,"Wausau, Wisconsin",56.9,29,-1.5,58.4
USW00024089,"Casper, Wyoming",57.8,33,0,57.8
USH00481675,"Cheyenne, Wyoming",59.8,109,1.5,58.3
USW00024021,"Lander, Wyoming",60.1,53,1.9,58.2
USW00024029,"Sheridan, Wyoming",61,60,3,58
USW00093738,"Washington (Dulles), Washington, D.C.",67.2,25,-0.6,67.8
USW00013743,"Washington (Reagan National), Washington, D.C.",70.2,17,-2.1,72.3
