Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-047,Catoosa County,72.2,72,0.4,71.8
GA-049,Charlton County,78.2,98,1.3,76.9
GA-051,Chatham County,78.3,99,1.6,76.7
GA-053,Chattahoochee County,74.1,42,-1.3,75.4
GA-055,Chattooga County,71.3,48,-1,72.3
GA-057,Cherokee County,70.7,54,-0.9,71.6
GA-059,Clarke County,70.4,19,-2.2,72.6
GA-061,Clay County,75.3,41,-1,76.3
GA-063,Clayton County,71.7,47,-1.1,72.8
GA-065,Clinch County,77.5,80,0.6,76.9
GA-067,Cobb County,71.6,58,-0.5,72.1
GA-069,Coffee County,77.2,82,0.9,76.3
GA-071,Colquitt County,76.1,62,-0.1,76.2
GA-073,Columbia County,73.7,54,-0.5,74.2
GA-075,Cook County,76.6,72,0.2,76.4
GA-077,Coweta County,72.4,68,-0.1,72.5
GA-079,Crawford County,74,58,-0.5,74.5
GA-081,Crisp County,75.8,73,0.3,75.5
GA-083,Dade County,70.8,66,-0.1,70.9
GA-085,Dawson County,68.9,50,-1.1,70
GA-087,Decatur County,76.9,56,-0.5,77.4
GA-089,DeKalb County,71.4,48,-0.9,72.3
GA-091,Dodge County,76,71,0.1,75.9
GA-093,Dooly County,75.4,70,0,75.4
GA-095,Dougherty County,76.9,70,0.1,76.8
GA-097,Douglas County,71.7,69,-0.1,71.8
GA-099,Early County,76.3,49,-0.6,76.9
GA-101,Echols County,77.4,75,0.4,77
GA-103,Effingham County,77,89,1.3,75.7
GA-105,Elbert County,71.9,51,-0.9,72.8
GA-107,Emanuel County,75.7,75,0.4,75.3
GA-109,Evans County,77.3,85,1.2,76.1
GA-111,Fannin County,66.9,52,-0.9,67.8
GA-113,Fayette County,72.1,52,-0.8,72.9
GA-115,Floyd County,71.5,44,-1.2,72.7
GA-117,Forsyth County,70,49,-1.1,71.1
GA-119,Franklin County,70.1,22,-2.1,72.2
GA-121,Fulton County,71.6,56,-0.5,72.1
GA-123,Gilmer County,67.9,53,-0.9,68.8
GA-125,Glascock County,73.9,65,-0.1,74
GA-127,Glynn County,78.1,83,0.8,77.3
GA-129,Gordon County,71.7,53,-0.8,72.5
GA-131,Grady County,76.6,58,-0.4,77
GA-133,Greene County,71.8,38,-1.6,73.4
GA-135,Gwinnett County,70.5,43,-1.3,71.8
GA-137,Habersham County,67.8,26,-1.9,69.7
GA-139,Hall County,69.7,38,-1.5,71.2
GA-141,Hancock County,73.4,55,-0.7,74.1
GA-143,Haralson County,70.7,59,-0.3,71
GA-145,Harris County,73.1,53,-0.8,73.9
GA-147,Hart County,70.8,40,-1.4,72.2
GA-149,Heard County,72.7,72,0.2,72.5
GA-151,Henry County,71.7,40,-1.4,73.1
GA-153,Houston County,75.1,62,-0.2,75.3
GA-155,Irwin County,76.6,76,0.6,76
GA-157,Jackson County,70.1,20,-2.2,72.3
GA-159,Jasper County,72.2,45,-1.2,73.4
GA-161,Jeff Davis County,77.1,82,0.9,76.2
GA-163,Jefferson County,74.7,73,0.4,74.3
GA-165,Jenkins County,75.4,75,0.7,74.7
GA-167,Johnson County,75.2,70,0.1,75.1
GA-169,Jones County,73.6,57,-0.7,74.3
GA-171,Lamar County,72.5,51,-0.9,73.4
GA-173,Lanier County,77,74,0.4,76.6
GA-175,Laurens County,75.7,70,0,75.7
GA-177,Lee County,76.4,71,0.2,76.2
GA-179,Liberty County,78,87,1.2,76.8
GA-181,Lincoln County,72.8,49,-1,73.8
GA-183,Long County,77.8,85,1.1,76.7
GA-185,Lowndes County,77,73,0.3,76.7
GA-187,Lumpkin County,68,54,-0.9,68.9
GA-189,McDuffie County,73.2,54,-0.5,73.7
GA-191,McIntosh County,78.1,82,0.8,77.3
GA-193,Macon County,74.8,59,-0.4,75.2
GA-195,Madison County,70,20,-2.2,72.2
GA-197,Marion County,73.7,47,-1.1,74.8
GA-199,Meriwether County,72.5,59,-0.6,73.1
GA-201,Miller County,76.5,50,-0.7,77.2
GA-205,Mitchell County,76.4,56,-0.5,76.9
GA-207,Monroe County,73.1,56,-0.8,73.9
GA-209,Montgomery County,76.7,76,0.7,76
GA-211,Morgan County,71.3,36,-1.8,73.1
GA-213,Murray County,70.9,60,-0.6,71.5
GA-215,Muscogee County,74.2,44,-1,75.2
GA-217,Newton County,71.3,41,-1.6,72.9
GA-219,Oconee County,70.7,25,-2.1,72.8
GA-221,Oglethorpe County,71.2,34,-1.6,72.8
GA-223,Paulding County,71.3,59,-0.4,71.7
GA-225,Peach County,74.5,62,-0.3,74.8
GA-227,Pickens County,69.4,53,-1,70.4
GA-229,Pierce County,78,97,1.4,76.6
GA-231,Pike County,72.4,53,-0.9,73.3
GA-233,Polk County,71.2,51,-0.8,72
GA-235,Pulaski County,75.8,67,-0.1,75.9
GA-237,Putnam County,72.8,51,-1.1,73.9
GA-239,Quitman County,74.5,32,-1.4,75.9
GA-241,Rabun County,65.1,21,-2.1,67.2
GA-243,Randolph County,74.9,44,-0.9,75.8
GA-245,Richmond County,75.1,76,0.5,74.6
GA-247,Rockdale County,71.3,42,-1.4,72.7
GA-249,Schley County,74.2,53,-0.8,75
GA-251,Screven County,75.5,76,0.6,74.9
GA-253,Seminole County,77.1,55,-0.5,77.6
GA-255,Spalding County,72.2,50,-1.2,73.4
GA-257,Stephens County,69.7,23,-2.1,71.8
GA-259,Stewart County,74,34,-1.4,75.4
GA-261,Sumter County,75.2,59,-0.4,75.6
GA-263,Talbot County,73.2,52,-0.8,74
GA-265,Taliaferro County,72.4,52,-1,73.4
GA-267,Tattnall County,77.4,84,1.1,76.3
GA-269,Taylor County,73.9,56,-0.7,74.6
GA-271,Telfair County,76.8,75,0.6,76.2
GA-273,Terrell County,75.8,61,-0.3,76.1
GA-275,Thomas County,76.6,62,-0.2,76.8
